id,name
6259,Lorenz
3091,"Hülsen, Leopoldine Christiane Dorothea (geb. Posern)"
1839,"Schelling, Gottliebin Marie (geb. Cleß)"
11701,"Schindler, Adolph Ferdinand"
558,"Schierstedt-Reichenwalde, August Wilhelm von"
2714,"Smith, George"
6347,"Briest, Friederike Marie Helene von (geb. von Luck)"
4144,"Wiedemann, Konrad Eberhard"
4844,(Sophie)
4856,"Schweinitz, Hans Julius von"
4861,"Eisenstück, Julie"
4896,Mynheer Van Papst (Familie)
4891,"Wenner, Franz"
11560,"Bethmann-Metzler, Eduard"
14735,"Louis, Georg Friedrich"
14734,"Stromeyer, Louise, geb. Louis"
3240,"Hunter, Wilhelmine (Minna) Sophie (geb. Spall, spätere Schlegel, gesch. Büchting)"
12757,"Kestner, Louise Amalie Henriette Antoinette"
5362,"Stieglitz, Sophie Jeanette (Jente, geb. Ephraim)"
12784,"Jacobi, Christian Leonhard"
12775,"Pauly, Michael Rudolf"
12134,"Pfirt, Maria Franziska (geb. von Venningen)"
8349,"Manteuffel, Johanne von (geb. von Wagner)"
5544,"Fiedler, Friedrich Wilhelm"
4346,"Zapf, Johann Justin"
8945,"Herrmann, M. G."
8709,"Schelling, Gottlieb"
